[dhdDelta():18.56.07.0011] - Did not find deltaConfig.txt
[dhdOpenWithReset():18.56.07.0239] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():18.57.13.1301] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():18.59.20.6784] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():18.59.59.6447] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():19.00.34.4049] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():19.01.29.8436] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():19.02.10.3085] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():19.02.41.6213] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
[dhdOpenWithReset():19.10.53.3818] - Found novint_t2.bin at C:\Program Files\Novint\Falcon\HDAL\bin\novint_t2.bin
